Employee ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Overtime_Hours,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Age Group,Salary Category,Performance Score
51,Legal,Female,35,Consultant,13-Sep-19,4,Bachelor,1,6050,29,28,1,3.02,FALSE,30-39,6K-6.9K,low
52,HR,Male,40,Developer,21-Mar-17,7,Bachelor,2,6000,12,18,1,1.43,FALSE,40-49,6K-6.9K,low
53,Engineering,Male,28,Consultant,03-Jun-15,9,Bachelor,3,7150,4,12,0,2.56,FALSE,20-29,7K+,medium
54,Engineering,Female,37,Technician,24-Oct-15,8,High School,2,4200,0,92,1,1.1,FALSE,30-39,Below 6K,low
55,Operations,Female,34,Technician,15-Aug-15,9,High School,5,5250,6,68,1,1.87,TRUE,30-39,Below 6K,high
56,Marketing,Female,34,Developer,25-Nov-21,2,Bachelor,3,6500,21,7,0,1.7,FALSE,30-39,6K-6.9K,medium
57,Customer Support,Female,33,Specialist,17-Apr-16,8,PhD,1,4950,28,36,2,2.64,TRUE,30-39,Below 6K,low
58,Finance,Male,23,Developer,21-Jul-19,5,Bachelor,4,7000,8,27,2,3.97,FALSE,20-29,7K+,high
59,IT,Other,52,Technician,03-Jul-24,0,High School,3,4550,5,74,2,4.23,TRUE,50+,Below 6K,medium
60,Customer Support,Female,54,Manager,05-Sep-19,5,Bachelor,1,6600,19,99,1,3.02,FALSE,50+,6K-6.9K,low
61,Operations,Female,34,Consultant,21-May-21,3,Bachelor,2,6600,14,20,1,2.32,FALSE,30-39,6K-6.9K,low
62,Engineering,Male,53,Specialist,11-Jul-17,7,High School,5,6750,0,75,2,2.15,FALSE,50+,6K-6.9K,high
63,Sales,Male,27,Manager,23-May-18,6,Bachelor,3,7800,12,73,1,2.26,FALSE,20-29,7K+,medium
64,Finance,Female,58,Manager,23-Jan-18,6,High School,4,8400,14,21,0,1.68,TRUE,50+,7K+,high
65,Sales,Female,41,Specialist,19-Nov-18,5,Bachelor,1,4950,13,3,0,4.33,FALSE,40-49,Below 6K,low
66,Legal,Male,37,Technician,16-Jul-24,0,Bachelor,4,4900,4,12,1,2.13,FALSE,30-39,Below 6K,high
67,Sales,Male,49,Manager,03-Jan-17,7,Master,2,7200,19,93,0,4.26,FALSE,40-49,7K+,low
68,HR,Male,39,Consultant,14-Aug-24,0,Bachelor,2,6600,17,64,2,2.45,FALSE,30-39,6K-6.9K,low
69,Operations,Female,38,Specialist,21-Jul-16,8,Bachelor,4,6300,9,9,0,2.42,FALSE,30-39,6K-6.9K,high
70,Sales,Male,52,Manager,26-Nov-15,8,Master,1,6600,13,8,0,4.45,FALSE,50+,6K-6.9K,low
71,IT,Female,42,Developer,13-Jan-23,1,High School,1,5500,13,75,1,4.49,FALSE,40-49,Below 6K,low
72,Engineering,Female,42,Analyst,17-Jul-23,1,Master,4,5600,16,15,2,3.55,FALSE,40-49,Below 6K,high
73,Sales,Female,33,Developer,08-Jan-23,1,Bachelor,2,6000,15,41,0,1.31,FALSE,30-39,6K-6.9K,low
74,Legal,Female,47,Developer,18-Jan-20,4,Bachelor,2,6000,15,8,1,4.98,FALSE,40-49,6K-6.9K,low
75,HR,Female,33,Consultant,29-Apr-24,0,High School,2,6600,24,1,1,1.39,FALSE,30-39,6K-6.9K,low
76,Engineering,Male,47,Consultant,11-Apr-18,6,High School,4,7700,22,84,1,1.75,FALSE,40-49,7K+,high
77,Customer Support,Male,31,Technician,24-May-17,7,PhD,3,4550,19,82,0,3.2,FALSE,30-39,Below 6K,medium
78,Sales,Male,28,Developer,17-Oct-20,3,Master,5,7500,6,38,1,3.55,FALSE,20-29,7K+,high
79,Legal,Male,46,Consultant,05-Feb-16,8,High School,3,7150,27,94,2,3.5,TRUE,40-49,7K+,medium
80,Customer Support,Female,54,Specialist,20-Feb-19,5,High School,1,4950,5,53,1,2.09,FALSE,50+,Below 6K,low
81,Legal,Female,55,Developer,07-May-24,0,Master,3,6500,25,94,0,3.75,FALSE,50+,6K-6.9K,medium
82,Customer Support,Female,23,Specialist,14-Dec-16,7,High School,3,5850,14,0,0,3.4,TRUE,20-29,Below 6K,medium
83,Engineering,Male,46,Analyst,23-Jun-21,3,Bachelor,2,4800,10,85,0,1.33,FALSE,40-49,Below 6K,low
84,HR,Female,28,Analyst,23-Mar-16,8,Master,1,4400,22,67,2,2.17,FALSE,20-29,Below 6K,low
85,Marketing,Female,46,Specialist,16-Sep-15,8,Bachelor,2,5400,13,0,1,4.27,FALSE,40-49,Below 6K,low
86,Legal,Female,59,Engineer,11-Feb-15,9,Bachelor,4,8400,7,40,2,2.37,FALSE,50+,7K+,high
87,Marketing,Male,55,Technician,14-Nov-19,4,PhD,3,4550,9,59,2,1.77,FALSE,50+,Below 6K,medium
88,Marketing,Male,52,Technician,05-Jul-19,5,Bachelor,2,4200,2,12,0,1.11,FALSE,50+,Below 6K,low
89,Finance,Female,27,Engineer,06-Nov-23,0,Master,2,7200,25,22,1,2.08,FALSE,20-29,7K+,low
90,Customer Support,Female,39,Manager,19-Jan-18,6,Bachelor,4,8400,10,53,0,3.22,FALSE,30-39,7K+,high
91,Customer Support,Male,55,Consultant,15-Mar-24,0,Bachelor,2,6600,5,26,2,3.23,TRUE,50+,6K-6.9K,low
92,Legal,Male,48,Developer,13-Jul-19,5,Bachelor,1,5500,26,84,1,3.69,TRUE,40-49,Below 6K,low
93,Finance,Male,50,Manager,09-Nov-23,0,High School,4,8400,29,3,2,3.66,FALSE,50+,7K+,high
94,Engineering,Male,52,Specialist,23-Apr-21,3,High School,4,6300,10,81,1,4.1,FALSE,50+,6K-6.9K,high
95,Operations,Male,52,Developer,06-Jul-15,9,High School,1,5500,19,33,0,4.36,FALSE,50+,Below 6K,low
96,Marketing,Female,30,Manager,11-Apr-19,5,High School,3,7800,20,43,2,1.03,TRUE,30-39,7K+,medium
97,Engineering,Male,58,Specialist,14-Apr-15,9,PhD,3,5850,16,0,0,2.34,FALSE,50+,Below 6K,medium
98,Finance,Female,38,Manager,31-Dec-15,8,High School,3,7800,12,64,0,4.2,FALSE,30-39,7K+,medium
99,Sales,Male,24,Developer,15-Nov-19,4,Bachelor,2,6000,0,37,1,4.39,FALSE,20-29,6K-6.9K,low
100,Customer Support,Other,33,Manager,01-Dec-17,6,Bachelor,3,7800,10,30,1,3.19,TRUE,30-39,7K+,medium
101,Finance,Female,45,Engineer,29-Dec-17,6,High School,4,8400,18,48,0,3.42,FALSE,40-49,7K+,high
102,IT,Female,33,Consultant,22-Nov-19,4,High School,1,6050,11,48,1,3.63,TRUE,30-39,6K-6.9K,low
103,IT,Male,33,Consultant,07-Jan-20,4,Bachelor,3,7150,29,57,2,5,TRUE,30-39,7K+,medium
104,Engineering,Male,58,Consultant,20-Jan-18,6,Bachelor,4,7700,18,53,1,2.13,FALSE,50+,7K+,high
105,Customer Support,Female,55,Technician,21-May-19,5,High School,1,3850,1,29,1,2.3,FALSE,50+,Below 6K,low
106,Customer Support,Male,46,Manager,13-Sep-21,2,Bachelor,4,8400,6,10,0,2.94,FALSE,40-49,7K+,high
107,HR,Female,22,Developer,17-Dec-20,3,Bachelor,4,7000,17,1,0,2.8,FALSE,20-29,7K+,high
108,Operations,Female,37,Engineer,26-Jan-15,9,Bachelor,4,8400,7,12,2,4.68,FALSE,30-39,7K+,high
109,Sales,Male,56,Consultant,02-Aug-18,6,Bachelor,1,6050,2,82,1,2.7,FALSE,50+,6K-6.9K,low
110,Sales,Male,36,Consultant,23-Sep-18,5,High School,5,8250,28,56,0,1.64,FALSE,30-39,7K+,high
111,IT,Male,43,Technician,08-Sep-23,0,Bachelor,2,4200,4,75,2,4.8,FALSE,40-49,Below 6K,low
112,Finance,Male,39,Analyst,06-Nov-18,5,Bachelor,1,4400,25,34,0,3.51,FALSE,30-39,Below 6K,low
113,Legal,Female,30,Technician,07-May-17,7,Master,4,4900,12,59,0,4.5,FALSE,30-39,Below 6K,high
114,Customer Support,Male,35,Consultant,07-Jun-24,0,Bachelor,4,7700,0,31,2,3.58,FALSE,30-39,7K+,high
115,Legal,Female,48,Specialist,08-Jun-23,1,Bachelor,2,5400,1,88,1,1.58,FALSE,40-49,Below 6K,low
116,Customer Support,Female,56,Analyst,26-Apr-21,3,Bachelor,5,6000,29,96,0,2.47,FALSE,50+,6K-6.9K,high
117,Legal,Male,26,Manager,30-Apr-21,3,High School,5,9000,15,44,2,3.24,FALSE,20-29,7K+,high
118,IT,Male,38,Consultant,10-Jun-16,8,PhD,4,7700,17,81,1,4.2,FALSE,30-39,7K+,high
119,IT,Female,27,Manager,22-Jan-20,4,Bachelor,5,9000,27,4,1,2.87,FALSE,20-29,7K+,high
120,Finance,Male,29,Specialist,10-Jul-21,3,Bachelor,3,5850,6,65,0,4.37,FALSE,20-29,Below 6K,medium
121,Customer Support,Male,26,Specialist,21-Mar-19,5,Bachelor,1,4950,12,23,1,4.17,FALSE,20-29,Below 6K,low
122,Legal,Female,25,Technician,27-Nov-19,4,High School,1,3850,4,13,1,2.94,TRUE,20-29,Below 6K,low
123,Operations,Female,44,Manager,12-Aug-15,9,Bachelor,4,8400,28,60,1,4.47,FALSE,40-49,7K+,high
124,Finance,Male,46,Consultant,04-Nov-14,9,Bachelor,4,7700,19,19,0,1.14,FALSE,40-49,7K+,high
125,IT,Male,28,Engineer,03-Nov-20,3,High School,3,7800,12,36,2,1.39,FALSE,20-29,7K+,medium
126,Marketing,Male,34,Developer,10-Nov-15,8,High School,1,5500,3,60,0,4.65,FALSE,30-39,Below 6K,low
127,Engineering,Other,59,Consultant,01-Oct-14,9,Bachelor,2,6600,17,35,0,4.4,FALSE,50+,6K-6.9K,low
128,Sales,Male,31,Consultant,16-Jun-22,2,Bachelor,2,6600,22,44,2,1.74,FALSE,30-39,6K-6.9K,low
129,Sales,Male,51,Developer,17-Jun-23,1,High School,5,7500,7,66,2,1.24,TRUE,50+,7K+,high
130,Sales,Other,29,Engineer,27-May-20,4,Bachelor,1,6600,25,66,2,1.61,FALSE,20-29,6K-6.9K,low
131,Engineering,Male,47,Specialist,17-Apr-15,9,Master,5,6750,27,97,2,2.84,TRUE,40-49,6K-6.9K,high
132,HR,Male,32,Technician,17-Dec-23,0,Bachelor,5,5250,28,34,0,2.87,FALSE,30-39,Below 6K,high
133,Marketing,Female,55,Manager,06-Oct-20,3,High School,3,7800,15,92,0,1.96,FALSE,50+,7K+,medium
134,Operations,Female,29,Consultant,01-May-19,5,High School,2,6600,13,44,1,3.83,FALSE,20-29,6K-6.9K,low
135,Operations,Male,24,Consultant,10-Aug-22,2,Bachelor,2,6600,0,63,0,3.79,FALSE,20-29,6K-6.9K,low
136,Sales,Male,23,Analyst,06-Oct-21,2,Bachelor,5,6000,29,94,0,3.03,FALSE,20-29,6K-6.9K,high
137,Legal,Female,35,Analyst,11-Jan-17,7,Bachelor,2,4800,17,9,1,1.25,FALSE,30-39,Below 6K,low
138,Customer Support,Male,28,Manager,26-Mar-19,5,Master,5,9000,12,34,2,4.83,FALSE,20-29,7K+,high
139,Finance,Male,38,Technician,01-Nov-18,5,High School,2,4200,23,22,0,1.12,FALSE,30-39,Below 6K,low
140,Legal,Female,39,Specialist,21-Dec-22,1,High School,1,4950,5,11,0,4.38,FALSE,30-39,Below 6K,low
141,Engineering,Female,23,Analyst,15-Jan-19,5,Bachelor,2,4800,11,16,1,3.61,FALSE,20-29,Below 6K,low
142,Customer Support,Male,22,Specialist,16-Mar-21,3,PhD,3,5850,8,45,1,4.61,FALSE,20-29,Below 6K,medium
143,Legal,Female,60,Specialist,21-Nov-16,7,Bachelor,2,5400,19,93,0,2.62,FALSE,50+,Below 6K,low
144,Customer Support,Female,54,Analyst,19-Feb-17,7,High School,3,5200,27,64,2,1.82,FALSE,50+,Below 6K,medium
145,Operations,Female,26,Consultant,03-Jun-23,1,Bachelor,1,6050,15,46,0,2.23,FALSE,20-29,6K-6.9K,low
146,Customer Support,Male,43,Consultant,24-Feb-18,6,Master,2,6600,12,80,2,4.36,FALSE,40-49,6K-6.9K,low
147,Legal,Female,57,Engineer,02-Jun-19,5,Bachelor,1,6600,7,1,0,3.3,FALSE,50+,6K-6.9K,low
148,Sales,Male,58,Analyst,10-Nov-16,7,Master,3,5200,25,34,2,4.55,FALSE,50+,Below 6K,medium
149,IT,Female,31,Technician,01-Aug-17,7,Master,1,3850,13,78,2,4.75,FALSE,30-39,Below 6K,low
150,Finance,Female,55,Analyst,19-Mar-21,3,Bachelor,1,4400,21,92,0,3,FALSE,50+,Below 6K,low
151,Operations,Male,59,Consultant,27-Oct-20,3,Bachelor,4,7700,15,19,0,4.76,FALSE,50+,7K+,high
152,Sales,Male,25,Manager,04-Jun-23,1,Bachelor,4,8400,10,51,1,1.02,FALSE,20-29,7K+,high
153,Marketing,Female,54,Technician,22-Sep-14,9,High School,5,5250,22,21,2,4.44,FALSE,50+,Below 6K,high
154,Customer Support,Male,60,Specialist,14-Jul-17,7,Bachelor,3,5850,1,15,2,4.88,FALSE,50+,Below 6K,medium
155,Legal,Male,51,Engineer,22-Jun-15,9,Bachelor,3,7800,17,30,2,3.78,FALSE,50+,7K+,medium
156,Customer Support,Female,35,Specialist,28-Jun-23,1,Master,1,4950,24,70,1,1.05,FALSE,30-39,Below 6K,low
157,Legal,Male,46,Manager,04-May-20,4,Bachelor,1,6600,7,71,0,1.79,FALSE,40-49,6K-6.9K,low
158,Operations,Female,39,Analyst,16-Jul-15,9,Bachelor,1,4400,14,11,2,3.34,FALSE,30-39,Below 6K,low
159,Legal,Female,41,Technician,21-Jun-15,9,Master,1,3850,21,98,0,4.04,FALSE,40-49,Below 6K,low
160,Operations,Female,30,Manager,04-Jul-22,2,Master,4,8400,17,27,0,4.15,TRUE,30-39,7K+,high
161,Engineering,Male,36,Manager,27-Dec-15,8,Master,1,6600,27,70,1,2.85,FALSE,30-39,6K-6.9K,low
162,HR,Male,32,Technician,13-Sep-19,4,Bachelor,5,5250,20,41,2,2.04,FALSE,30-39,Below 6K,high
163,Finance,Male,44,Technician,19-Jan-23,1,Bachelor,5,5250,15,29,0,1.78,FALSE,40-49,Below 6K,high
164,Legal,Male,37,Analyst,21-Nov-16,7,High School,1,4400,2,53,1,1.97,TRUE,30-39,Below 6K,low
165,Engineering,Male,26,Analyst,19-Dec-20,3,High School,2,4800,23,43,0,1.82,TRUE,20-29,Below 6K,low
166,Sales,Female,30,Specialist,18-May-20,4,High School,3,5850,23,47,2,3.49,FALSE,30-39,Below 6K,medium
167,Sales,Male,36,Manager,04-Jun-18,6,High School,4,8400,1,78,1,1.14,FALSE,30-39,7K+,high
168,Legal,Male,31,Analyst,18-Nov-16,7,Bachelor,5,6000,25,93,0,1.97,FALSE,30-39,6K-6.9K,high
169,Legal,Female,39,Specialist,27-Jan-19,5,High School,4,6300,23,84,0,4.25,FALSE,30-39,6K-6.9K,high
170,Legal,Female,34,Technician,22-Oct-19,4,High School,5,5250,26,49,2,2.59,FALSE,30-39,Below 6K,high
171,Engineering,Male,23,Manager,09-Apr-23,1,Bachelor,3,7800,9,52,2,4.72,FALSE,20-29,7K+,medium
172,Finance,Male,22,Developer,28-Mar-15,9,Bachelor,2,6000,17,50,2,3.63,FALSE,20-29,6K-6.9K,low
173,Operations,Male,43,Developer,30-Mar-20,4,PhD,2,6000,1,63,1,2.24,FALSE,40-49,6K-6.9K,low
174,Marketing,Female,26,Specialist,20-Sep-19,4,High School,5,6750,18,16,0,3.36,FALSE,20-29,6K-6.9K,high
175,Customer Support,Female,30,Analyst,05-May-24,0,Bachelor,2,4800,21,42,2,3.85,FALSE,30-39,Below 6K,low
176,Engineering,Female,48,Developer,26-Aug-24,0,Bachelor,3,6500,12,16,1,3.59,TRUE,40-49,6K-6.9K,medium
177,HR,Female,54,Consultant,13-May-17,7,Bachelor,3,7150,7,99,1,3.79,FALSE,50+,7K+,medium
178,Customer Support,Male,25,Analyst,01-Aug-17,7,Bachelor,4,5600,14,47,0,1.14,FALSE,20-29,Below 6K,high
179,Customer Support,Other,48,Technician,28-Feb-18,6,Bachelor,2,4200,8,79,2,1.3,FALSE,40-49,Below 6K,low
180,Legal,Female,53,Manager,25-Jun-16,8,Master,2,7200,25,36,2,2.89,FALSE,50+,7K+,low
181,Legal,Male,28,Technician,13-Apr-17,7,Bachelor,1,3850,13,67,1,2.39,TRUE,20-29,Below 6K,low
182,Legal,Male,57,Manager,02-Aug-24,0,Bachelor,2,7200,9,56,2,4.28,FALSE,50+,7K+,low
183,Sales,Male,48,Technician,28-May-18,6,Bachelor,4,4900,29,21,1,2.47,FALSE,40-49,Below 6K,high
184,Customer Support,Female,32,Manager,14-May-22,2,Bachelor,5,9000,17,62,2,1.46,FALSE,30-39,7K+,high
185,Finance,Female,33,Technician,15-Jan-15,9,Bachelor,3,4550,1,56,2,2.69,FALSE,30-39,Below 6K,medium
186,HR,Female,57,Manager,27-Jul-23,1,Bachelor,4,8400,7,59,2,4.38,FALSE,50+,7K+,high
187,Legal,Male,38,Engineer,19-Oct-18,5,Master,4,8400,22,38,0,3.08,FALSE,30-39,7K+,high
188,IT,Female,43,Specialist,15-Feb-22,2,High School,2,5400,8,97,2,4.01,FALSE,40-49,Below 6K,low
189,Customer Support,Female,26,Specialist,18-Jul-23,1,Bachelor,2,5400,15,11,0,2.8,TRUE,20-29,Below 6K,low
190,Operations,Female,41,Consultant,21-May-22,2,Bachelor,1,6050,24,4,0,3.85,FALSE,40-49,6K-6.9K,low
191,HR,Female,37,Analyst,17-Mar-16,8,Bachelor,4,5600,0,12,0,2.32,FALSE,30-39,Below 6K,high
192,Engineering,Female,36,Analyst,26-Dec-20,3,Bachelor,2,4800,24,64,1,3.84,TRUE,30-39,Below 6K,low
193,Finance,Male,54,Specialist,01-Jan-20,4,Bachelor,1,4950,22,99,0,3.94,FALSE,50+,Below 6K,low
194,IT,Female,45,Analyst,10-Apr-21,3,Bachelor,2,4800,26,85,0,1.48,FALSE,40-49,Below 6K,low
195,IT,Female,56,Specialist,25-Jul-17,7,Master,5,6750,22,61,0,2.51,TRUE,50+,6K-6.9K,high
196,Legal,Female,39,Engineer,30-Mar-23,1,Master,5,9000,24,26,1,1.59,TRUE,30-39,7K+,high
197,HR,Male,44,Technician,30-Jul-22,2,High School,1,3850,8,15,2,1.49,FALSE,40-49,Below 6K,low
198,HR,Female,55,Analyst,04-Feb-21,3,Bachelor,5,6000,22,42,2,3.45,FALSE,50+,6K-6.9K,high
199,IT,Female,52,Developer,08-Apr-19,5,Bachelor,1,5500,28,56,0,3.23,FALSE,50+,Below 6K,low
200,Operations,Male,27,Consultant,26-Apr-21,3,Master,1,6050,26,38,2,3.73,TRUE,20-29,6K-6.9K,low
201,Finance,Male,45,Analyst,21-Sep-14,9,Bachelor,5,6000,14,26,1,2.41,FALSE,40-49,6K-6.9K,high
202,Operations,Female,54,Specialist,13-May-19,5,Bachelor,3,5850,21,14,2,3.47,FALSE,50+,Below 6K,medium
203,Engineering,Male,32,Consultant,05-Mar-16,8,High School,2,6600,20,87,1,4.06,FALSE,30-39,6K-6.9K,low
204,Customer Support,Male,52,Analyst,09-Apr-20,4,Bachelor,2,4800,18,37,0,2.63,FALSE,50+,Below 6K,low
205,HR,Female,38,Technician,01-Dec-17,6,High School,1,3850,2,40,1,1.25,FALSE,30-39,Below 6K,low
206,Marketing,Male,50,Engineer,29-Aug-23,1,Bachelor,2,7200,21,88,2,4.9,TRUE,50+,7K+,low
207,Customer Support,Male,41,Manager,19-Nov-20,3,Master,4,8400,1,66,2,1.02,FALSE,40-49,7K+,high
208,Sales,Female,40,Developer,26-Nov-16,7,High School,1,5500,7,64,1,4.61,TRUE,40-49,Below 6K,low
209,Engineering,Male,43,Developer,21-Nov-15,8,High School,3,6500,24,75,2,2.96,FALSE,40-49,6K-6.9K,medium
210,Legal,Male,42,Consultant,26-Apr-15,9,Bachelor,2,6600,13,23,0,4.32,FALSE,40-49,6K-6.9K,low
211,Finance,Female,26,Specialist,01-Aug-21,3,High School,4,6300,26,98,0,2.86,TRUE,20-29,6K-6.9K,high
212,Marketing,Male,36,Manager,07-Jan-20,4,PhD,2,7200,9,52,2,2.76,FALSE,30-39,7K+,low
213,Operations,Male,28,Developer,27-Feb-23,1,Bachelor,4,7000,10,21,0,4.27,FALSE,20-29,7K+,high
214,Legal,Female,32,Specialist,19-Dec-19,4,Master,5,6750,11,99,1,2.42,FALSE,30-39,6K-6.9K,high
215,Operations,Female,25,Developer,11-Sep-19,4,High School,3,6500,1,69,0,1.75,FALSE,20-29,6K-6.9K,medium
216,Sales,Female,30,Manager,25-Mar-18,6,Bachelor,3,7800,22,74,2,4.21,TRUE,30-39,7K+,medium
217,Operations,Female,42,Engineer,25-Jul-20,4,Master,2,7200,17,5,0,4.58,FALSE,40-49,7K+,low
218,Legal,Female,22,Analyst,06-Jul-18,6,High School,4,5600,11,7,0,4.77,FALSE,20-29,Below 6K,high
219,Engineering,Male,23,Engineer,18-Nov-19,4,Bachelor,5,9000,5,95,1,4.14,FALSE,20-29,7K+,high
220,Customer Support,Male,52,Engineer,13-Nov-15,8,Bachelor,4,8400,27,82,1,4.97,FALSE,50+,7K+,high
221,Operations,Male,25,Consultant,17-Nov-19,4,High School,2,6600,7,9,1,3.23,FALSE,20-29,6K-6.9K,low
